auROC	Network	Method	Index
0.8149947040626999	BlogCatalog	pecanpy-DenseOTF	1
0.7942054913964565	BlogCatalog	pecanpy-DenseOTF	2
0.6382587665188985	BlogCatalog	pecanpy-DenseOTF	3
0.782928074480782	BlogCatalog	pecanpy-DenseOTF	4
0.7763937517517198	BlogCatalog	pecanpy-DenseOTF	5
0.9356852742973334	BlogCatalog	pecanpy-DenseOTF	6
0.7895584412931257	BlogCatalog	pecanpy-DenseOTF	7
0.7570914450509351	BlogCatalog	pecanpy-DenseOTF	8
0.8216431819541674	BlogCatalog	pecanpy-DenseOTF	9
0.8608896194409553	BlogCatalog	pecanpy-DenseOTF	10
0.723865610379761	BlogCatalog	pecanpy-DenseOTF	11
0.7269967008499135	BlogCatalog	pecanpy-DenseOTF	12
0.7754379895181772	BlogCatalog	pecanpy-DenseOTF	13
0.6981041858904454	BlogCatalog	pecanpy-DenseOTF	14
0.7426152396121782	BlogCatalog	pecanpy-DenseOTF	15
0.7280768693537768	BlogCatalog	pecanpy-DenseOTF	16
0.5956780423608837	BlogCatalog	pecanpy-DenseOTF	17
0.7535392524192062	BlogCatalog	pecanpy-DenseOTF	18
0.7853832340574632	BlogCatalog	pecanpy-DenseOTF	19
0.8802845326475724	BlogCatalog	pecanpy-DenseOTF	20
0.6854482507820775	BlogCatalog	pecanpy-DenseOTF	21
0.7326424124753451	BlogCatalog	pecanpy-DenseOTF	22
0.8760464647457311	BlogCatalog	pecanpy-DenseOTF	23
0.6900471918208719	BlogCatalog	pecanpy-DenseOTF	24
0.7016822029433459	BlogCatalog	pecanpy-DenseOTF	25
0.7097560950208808	BlogCatalog	pecanpy-DenseOTF	26
0.8098336870788326	BlogCatalog	pecanpy-DenseOTF	27
0.8417673398999046	BlogCatalog	pecanpy-DenseOTF	28
0.6837510455655578	BlogCatalog	pecanpy-DenseOTF	29
0.7047799591876708	BlogCatalog	pecanpy-DenseOTF	30
0.7437190720882401	BlogCatalog	pecanpy-DenseOTF	31
0.9134555254397988	BlogCatalog	pecanpy-DenseOTF	32
0.6697600963884822	BlogCatalog	pecanpy-DenseOTF	33
0.6545577462483119	BlogCatalog	pecanpy-DenseOTF	34
0.7035267128025695	BlogCatalog	pecanpy-DenseOTF	35
0.8367403894268979	BlogCatalog	pecanpy-DenseOTF	36
0.7037858321266219	BlogCatalog	pecanpy-DenseOTF	37
0.5268443786849492	BlogCatalog	nodevectors	0
0.5795596644584753	BlogCatalog	nodevectors	1
0.5436981982657869	BlogCatalog	nodevectors	2
0.5381574535709582	BlogCatalog	nodevectors	3
0.5574959220291027	BlogCatalog	nodevectors	4
0.5851328184789917	BlogCatalog	nodevectors	5
0.6418641097020312	BlogCatalog	nodevectors	6
0.5743134361581281	BlogCatalog	nodevectors	7
0.5336190170883199	BlogCatalog	nodevectors	8
0.5545453140270049	BlogCatalog	nodevectors	9
0.5955064802035898	BlogCatalog	nodevectors	10
0.5349876248405064	BlogCatalog	nodevectors	11
0.5449648931500428	BlogCatalog	nodevectors	12
0.5269990244756638	BlogCatalog	nodevectors	13
0.6168942331890072	BlogCatalog	nodevectors	14
0.5732655789927448	BlogCatalog	nodevectors	15
0.5437729835904073	BlogCatalog	nodevectors	16
0.5167345044571615	BlogCatalog	nodevectors	17
0.6138419694885318	BlogCatalog	nodevectors	18
0.5365472957753529	BlogCatalog	nodevectors	19
0.5854832845754673	BlogCatalog	nodevectors	20
0.5493035183224085	BlogCatalog	nodevectors	21
0.5392937006903353	BlogCatalog	nodevectors	22
0.5904061195757896	BlogCatalog	nodevectors	23
0.5547747510961221	BlogCatalog	nodevectors	24
0.538715008254013	BlogCatalog	nodevectors	25
0.5921054769269223	BlogCatalog	nodevectors	26
0.6201261050168817	BlogCatalog	nodevectors	27
0.6436559324972284	BlogCatalog	nodevectors	28
0.5577997296949275	BlogCatalog	nodevectors	29
0.4908730880463045	BlogCatalog	nodevectors	30
0.5099147633670456	BlogCatalog	nodevectors	31
0.6373697608030258	BlogCatalog	nodevectors	32
0.5237071437286481	BlogCatalog	nodevectors	33
0.5894257013067554	BlogCatalog	nodevectors	34
0.5650313871483477	BlogCatalog	nodevectors	35
0.5716859712124334	BlogCatalog	nodevectors	36
0.6387476856354507	BlogCatalog	nodevectors	37
0.6513628926701571	PPI	orig-py	0
0.8171877958968965	PPI	orig-py	1
0.5965123456790123	PPI	orig-py	2
0.6106339795640856	PPI	orig-py	3
0.7630711220318639	PPI	orig-py	4
0.8418668143140555	PPI	orig-py	5
0.6821434040498039	PPI	orig-py	6
0.5456907489702674	PPI	orig-py	7
0.6021026381177844	PPI	orig-py	8
0.5296050951696566	PPI	orig-py	9
0.6039312240632235	PPI	orig-py	10
0.8360832749406928	PPI	orig-py	11
0.6850577850577849	PPI	orig-py	12
0.6952380952380952	PPI	orig-py	13
0.6916912237537394	PPI	orig-py	14
0.6954680061083331	PPI	orig-py	15
0.7049187784275504	PPI	orig-py	16
0.6534494894434786	PPI	orig-py	17
0.5749956850851887	PPI	orig-py	18
0.7286311577914265	PPI	orig-py	19
0.6988804361699309	PPI	orig-py	20
0.6366390886977513	PPI	orig-py	21
0.7993121916594805	PPI	orig-py	22
0.5576903712567859	PPI	orig-py	23
0.8054282225710796	PPI	orig-py	24
0.8758214531238064	PPI	orig-py	25
0.7691913890100467	PPI	orig-py	26
0.6643544272124892	PPI	orig-py	27
0.8173807983437925	PPI	orig-py	28
0.5900997228182472	PPI	orig-py	29
0.9011007789818622	PPI	orig-py	30
0.7485953611251408	PPI	orig-py	31
0.7773591591447794	PPI	orig-py	32
0.846630372134688	PPI	orig-py	33
0.7027364106596845	PPI	orig-py	34
0.8261583603145237	PPI	orig-py	35
0.6126119125366842	PPI	orig-py	36
0.6783834882064929	PPI	orig-py	37
0.5288754203797856	PPI	orig-py	38
0.6836912078946347	PPI	orig-py	39
0.6952233079694443	PPI	orig-py	40
0.6320857834659287	PPI	orig-py	41
0.7511247334754797	PPI	orig-py	42
0.7964369860156808	PPI	orig-py	43
0.5926499877010483	PPI	orig-py	44
0.6631402603220902	PPI	orig-py	45
0.817591300343594	PPI	orig-py	46
0.5950476922165462	PPI	orig-py	47
0.8085281914766049	PPI	orig-py	48
0.6147976626548055	PPI	orig-py	49
0.5168054646596858	PPI	orig-cpp	0
0.8019931614939505	PPI	orig-cpp	1
0.5934309186637619	PPI	orig-cpp	2
0.5815953999766892	PPI	orig-cpp	3
0.7826814851720585	PPI	orig-cpp	4
0.8328354954141043	PPI	orig-cpp	5
0.6935618114231192	PPI	orig-cpp	6
0.5444455382422981	PPI	orig-cpp	7
0.5830794144338709	PPI	orig-cpp	8
0.5274791896170598	PPI	orig-cpp	9
0.5708505575754266	PPI	orig-cpp	10
0.8288355522536746	PPI	orig-cpp	11
0.6873543095765318	PPI	orig-cpp	12
0.6623013951343248	PPI	orig-cpp	13
0.6821321329717337	PPI	orig-cpp	14
0.6811018953798247	PPI	orig-cpp	15
0.731735778841042	PPI	orig-cpp	16
0.638659555869845	PPI	orig-cpp	17
0.5630763287882897	PPI	orig-cpp	18
0.7316649385803838	PPI	orig-cpp	19
0.6913399365684851	PPI	orig-cpp	20
0.5270757046909863	PPI	orig-cpp	21
0.7783598484181875	PPI	orig-cpp	22
0.5428683745840874	PPI	orig-cpp	23
0.7556985871271585	PPI	orig-cpp	24
0.8828801377710807	PPI	orig-cpp	25
0.7701128861749551	PPI	orig-cpp	26
0.6222685414795651	PPI	orig-cpp	27
0.7939923659183541	PPI	orig-cpp	28
0.5939520916265101	PPI	orig-cpp	29
0.9053879099715427	PPI	orig-cpp	30
0.70699933952368	PPI	orig-cpp	31
0.7723868125553666	PPI	orig-cpp	32
0.8415695070378524	PPI	orig-cpp	33
0.6780625444016997	PPI	orig-cpp	34
0.8198577705827936	PPI	orig-cpp	35
0.6566899516389038	PPI	orig-cpp	36
0.7110780691478177	PPI	orig-cpp	37
0.5063860926477415	PPI	orig-cpp	38
0.6627545747698045	PPI	orig-cpp	39
0.6912096177246372	PPI	orig-cpp	40
0.5930224835696991	PPI	orig-cpp	41
0.7335338486140723	PPI	orig-cpp	42
0.8021737414958319	PPI	orig-cpp	43
0.6139279678164202	PPI	orig-cpp	44
0.6126561082594197	PPI	orig-cpp	45
0.7758379086819455	PPI	orig-cpp	46
0.6359812021381708	PPI	orig-cpp	47
0.8014986907713002	PPI	orig-cpp	48
0.6245726495726496	PPI	orig-cpp	49
0.6193970876963351	PPI	pecanpy-PreComp	0
0.8365297211993686	PPI	pecanpy-PreComp	1
0.5898467380779472	PPI	pecanpy-PreComp	2
0.5915466801352034	PPI	pecanpy-PreComp	3
0.7460659812258671	PPI	pecanpy-PreComp	4
0.8312935525576087	PPI	pecanpy-PreComp	5
0.692744480026117	PPI	pecanpy-PreComp	6
0.5460485771252493	PPI	pecanpy-PreComp	7
0.5819768500611783	PPI	pecanpy-PreComp	8
0.5215397859503469	PPI	pecanpy-PreComp	9
0.5826561187095033	PPI	pecanpy-PreComp	10
0.7796413706933669	PPI	pecanpy-PreComp	11
0.6878914990026102	PPI	pecanpy-PreComp	12
0.7118796264268419	PPI	pecanpy-PreComp	13
0.6454704056812146	PPI	pecanpy-PreComp	14
0.6914026708985838	PPI	pecanpy-PreComp	15
0.7277449937976253	PPI	pecanpy-PreComp	16
0.6199645769697922	PPI	pecanpy-PreComp	17
0.5694311709445965	PPI	pecanpy-PreComp	18
0.7244253783321726	PPI	pecanpy-PreComp	19
0.7163672092300801	PPI	pecanpy-PreComp	20
0.6027684754387207	PPI	pecanpy-PreComp	21
0.785729956766333	PPI	pecanpy-PreComp	22
0.5603071551573171	PPI	pecanpy-PreComp	23
0.8541313448456306	PPI	pecanpy-PreComp	24
0.8775958113147277	PPI	pecanpy-PreComp	25
0.7580885125194982	PPI	pecanpy-PreComp	26
0.6598983955068831	PPI	pecanpy-PreComp	27
0.8259807854046709	PPI	pecanpy-PreComp	28
0.6194166901464415	PPI	pecanpy-PreComp	29
0.9044518382247262	PPI	pecanpy-PreComp	30
0.7396218967325848	PPI	pecanpy-PreComp	31
0.7597462111236144	PPI	pecanpy-PreComp	32
0.8365869714666647	PPI	pecanpy-PreComp	33
0.7138726920424706	PPI	pecanpy-PreComp	34
0.8297389569842739	PPI	pecanpy-PreComp	35
0.6452637126441532	PPI	pecanpy-PreComp	36
0.6653810339130695	PPI	pecanpy-PreComp	37
0.522416008968102	PPI	pecanpy-PreComp	38
0.6812115466801352	PPI	pecanpy-PreComp	39
0.694356050620544	PPI	pecanpy-PreComp	40
0.6429313962873284	PPI	pecanpy-PreComp	41
0.7163643390191898	PPI	pecanpy-PreComp	42
0.7987689740887083	PPI	pecanpy-PreComp	43
0.6541312575876598	PPI	pecanpy-PreComp	44
0.6160547842484959	PPI	pecanpy-PreComp	45
0.7833048776168042	PPI	pecanpy-PreComp	46
